"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Castillo de Locubín-23026","2.575","2.144","4.058","2.744","476","15.089","13.670"
"Torres-23090","919","758","1.406","2.754","481","14.988","13.451"
"Pozo Alcón-23070","2.847","2.340","4.673","2.759","485","14.959","13.543"
"Fuensanta de Martos-23034","1.909","1.513","3.074","2.766","489","14.929","13.358"
"Porcuna-23069","4.282","3.649","6.235","2.783","501","14.792","13.193"
"Valdepeñas de Jaén-23093","2.384","1.921","3.714","2.785","502","14.737","13.304"
"Iruela, La-23047","1.002","821","1.899","2.789","503","14.725","13.335"
"Frailes-23033","1.001","794","1.575","2.791","504","14.710","13.301"
"Jabalquinto-23049","1.207","1.022","2.039","2.795","505","14.675","13.324"
"Castellar-23025","2.038","1.672","3.314","2.800","509","14.661","13.149"
"Bedmar y Garcíez-23902","1.610","1.349","2.642","2.806","513","14.588","13.174"
"Begíjar-23014","1.820","1.449","3.029","2.807","514","14.581","13.128"
"Jimena-23052","785","645","1.284","2.808","515","14.560","13.196"
"Santo Tomé-23080","1.270","1.054","2.139","2.812","517","14.543","13.120"
"Lahiguera-23040","1.145","957","1.710","2.813","518","14.537","13.199"
"Torreblascopedro-23085","1.466","1.206","2.546","2.825","526","14.292","13.061"
"Albanchez de Mágina-23001","592","501","1.024","2.827","527","14.260","12.894"
"Cabra del Santo Cristo-23017","1.079","854","1.779","2.836","533","14.181","12.897"
"Arroyo del Ojanco-23905","1.326","1.115","2.288","2.838","534","14.174","12.699"
"Jódar-23053","6.397","5.218","11.667","2.839","535","14.130","12.695"
"Santisteban del Puerto-23079","2.653","2.116","4.472","2.842","536","14.095","12.717"
"Navas de San Juan-23063","2.827","2.228","4.517","2.843","537","14.079","12.788"
"Noalejo-23064","1.088","879","1.970","2.854","544","13.893","12.797"
"Bélmez de la Moraleda-23015","938","775","1.567","2.856","545","13.845","12.767"
"Cambil-23018","1.553","1.244","2.703","2.859","547","13.811","12.742"
"Arquillos-23008","1.032","836","1.734","2.862","549","13.744","12.466"
"Sorihuela del Guadalimar-23084","590","501","1.100","2.865","551","13.666","12.536"
"Chilluévar-23030","901","729","1.434","2.884","560","13.218","11.993"
"Montizón-23062","1.093","860","1.725","2.885","561","13.217","12.183"
"Huesa-23045","1.472","1.259","2.489","2.887","562","13.138","12.074"
"Agrupación municipios pequeños-23","7.495","6.152","13.152","-","-","14.152","12.873"
"Málaga","784.515","668.782","1.661.785",NA,NA,"24.087","20.144"
"Benahavís-29023","2.029","1.799","8.085","150","4","31.557","25.222"
"Rincón de la Victoria-29082","24.589","21.088","47.179","256","13","29.297","23.956"
"Marbella-29069","64.915","56.406","143.386","531","23","26.541","21.818"
"Málaga-29067","275.251","236.062","574.654","536","24","26.509","21.968"
"Alhaurín de la Torre-29007","20.159","17.000","40.345","576","27","26.215","21.743"
"Benalmádena-29025","31.973","28.152","68.128","671","32","25.496","21.063"
"Torremolinos-29901","32.625","28.683","68.661","780","42","24.876","20.682"
"Fuengirola-29054","31.449","27.260","80.309","923","52","23.844","19.973"
"Estepona-29051","31.673","26.933","68.286","968","54","23.541","19.722"
"Antequera-29015","20.821","17.346","41.239","1.049","61","23.033","19.353"
"Ronda-29084","18.326","15.297","33.877","1.084","66","22.845","19.169"
"Mijas-29070","34.997","30.112","82.742","1.155","70","22.423","18.853"
"Manilva-29068","6.469","5.477","15.528","1.197","75","22.183","18.880"
"Casares-29041","2.772","2.341","6.515","1.276","83","21.860","18.650"
"Vélez-Málaga-29094","42.160","35.632","81.643","1.316","89","21.608","18.358"
"Ojén-29076","1.714","1.487","3.702","1.318","91","21.584","18.130"
"Istán-29061","673","547","1.469","1.420","105","21.094","17.955"
"Nerja-29075","9.782","8.519","21.091","1.499","113","20.692","17.747"
"Cártama-29038","12.289","10.219","26.259","1.567","120","20.377","17.511"
"Campillos-29032","4.265","3.524","8.444","1.624","131","20.104","17.276"
"Coín-29042","10.599","8.502","22.147","1.627","133","20.094","17.172"
"Frigiliana-29053","1.504","1.317","3.009","1.675","141","19.844","17.106"
"Alhaurín el Grande-29008","10.564","8.497","24.705","1.751","151","19.499","16.831"
"Pizarra-29080","4.386","3.524","9.226","1.850","174","19.099","16.544"
"Casabermeja-29039","1.588","1.320","3.522","1.864","175","19.040","16.512"
"Almargen-29010","1.096","867","1.954","1.950","186","18.749","16.229"
"Torrox-29091","7.456","6.316","17.234","2.011","202","18.532","15.984"
"Arriate-29020","2.183","1.799","4.102","2.016","204","18.514","16.174"
"Archidona-29017","4.422","3.731","8.238","2.023","205","18.478","15.940"
"Monda-29073","1.169","949","2.594","2.072","219","18.257","15.828"
"Cómpeta-29045","1.505","1.239","3.922","2.102","229","18.149","15.815"
"Casarabonela-29040","1.270","1.012","2.502","2.113","231","18.118","15.823"
"Algarrobo-29005","3.005","2.494","6.444","2.121","233","18.080","15.746"
"Fuente de Piedra-29055","1.236","1.053","2.596","2.158","245","17.953","15.524"
"Alora-29012","6.124","4.921","12.985","2.232","270","17.641","15.465"
"Mollina-29072","2.389","2.018","5.149","2.295","288","17.349","15.205"
"Benaoján-29028","664","542","1.476","2.300","290","17.329","15.106"
"Viñuela-29099","850","705","2.034","2.332","303","17.162","15.351"
"Ardales-29018","1.375","1.123","2.500","2.346","312","17.104","14.996"
"Moclinejo-29071","447","349","1.271","2.389","322","16.921","14.972"
"Guaro-29058","860","715","2.260","2.391","323","16.899","15.136"
"Cortes de la Frontera-29046","1.625","1.279","3.101","2.392","324","16.897","14.864"
"Cañete la Real-29035","859","715","1.665","2.393","325","16.895","14.953"
"Gaucín-29056","702","559","1.576","2.396","327","16.890","14.714"
"Humilladero-29059","1.679","1.408","3.286","2.416","332","16.789","14.782"
"Alameda-29001","2.504","2.034","5.372","2.449","342","16.647","14.678"
"Villanueva del Rosario-29096","1.987","1.659","3.356","2.458","347","16.575","14.615"
"Colmenar-29043","1.539","1.274","3.376","2.480","357","16.477","14.626"
"Almogía-29011","1.575","1.248","3.715","2.503","368","16.388","14.545"
"Villanueva de la Concepción-29902","1.669","1.365","3.296","2.508","370","16.368","14.325"
"Sierra de Yeguas-29088","1.748","1.480","3.346","2.512","372","16.355","14.539"
"Alozaina-29013","1.063","859","2.051","2.520","376","16.311","14.595"
"Alcaucín-29002","1.119","938","2.230","2.563","386","16.105","14.418"
"Teba-29089","2.135","1.733","3.760","2.592","397","15.984","14.300"
"Tolox-29090","1.144","887","2.107","2.594","399","15.981","14.353"
"Benamocarra-29027","1.508","1.258","3.011","2.596","400","15.974","14.102"
"Cuevas del Becerro-29048","968","810","1.589","2.605","404","15.932","14.272"
"Villanueva del Trabuco-29097","2.890","2.373","5.299","2.621","412","15.841","14.009"
"Riogordo-29083","1.237","987","2.724","2.657","427","15.667","14.069"
"Cuevas Bajas-29047","693","566","1.395","2.674","437","15.537","13.933"
"Sayalonga-29086","639","537","1.681","2.682","440","15.489","13.781"
"Periana-29079","1.667","1.377","3.048","2.717","459","15.313","13.647"
"Yunquera-29100","1.708","1.308","2.864","2.720","461","15.297","13.816"
"Alfarnate-29003","565","475","1.069","2.725","463","15.244","13.651"
"Comares-29044","505","411","1.315","2.727","465","15.237","13.730"
"Villanueva de Tapia-29098","909","783","1.476","2.732","470","15.182","13.544"
"Burgo, El-29031","976","780","1.800","2.746","477","15.069","13.680"
"Valle de Abdalajís-29093","1.237","1.054","2.542","2.757","484","14.968","13.525"
"Villanueva de Algaidas-29095","2.387","2.028","4.176","2.770","490","14.889","13.292"
"Cuevas de San Marcos-29049","1.993","1.661","3.648","2.776","495","14.849","13.250"
"Arenas-29019","708","584","1.156","2.777","496","14.848","13.536"
"Benamargosa-29026","738","641","1.514","2.810","516","14.549","13.103"
"Canillas de Aceituno-29033","784","659","1.677","2.816","520","14.464","12.879"
"Almáchar-29009","959","809","1.811","2.888","563","13.106","12.041"
"Agrupación municipios pequeños-29","6.473","5.366","14.341","-","-","15.376","13.745"
"Sevilla","949.387","793.551","1.942.389",NA,NA,"25.161","20.811"
"Tomares-41093","13.140","11.363","25.359","86","1","34.187","27.131"
"Espartinas-41040","8.253","7.058","15.791","101","2","33.322","26.513"
"Valencina de la Concepción-41096","4.171","3.471","7.751","147","3","31.601","25.383"
"Bormujos-41017","10.950","9.213","21.972","193","5","30.511","24.388"
"Castilleja de Guzmán-41028","1.433","1.209","2.821","200","6","30.309","24.363"
"Mairena del Aljarafe-41059","23.809","20.342","46.089","201","7","30.304","24.404"
"Gelves-41044","5.262","4.429","10.184","215","8","30.092","23.972"
"Sevilla-41091","354.534","304.742","688.592","218","9","30.026","24.339"
"Gines-41047","6.941","5.888","13.420","234","10","29.699","24.030"
"Palomares del Río-41070","4.595","3.884","8.767","319","17","28.600","23.368"
"Dos Hermanas-41038","64.557","53.718","133.968","694","34","25.379","21.024"
"Salteras-41085","2.704","2.270","5.530","729","36","25.168","20.824"
"Alcalá de Guadaíra-41004","34.446","27.880","75.279","773","39","24.925","20.555"
"Bollullos de la Mitación-41016","5.248","4.341","10.787","802","44","24.729","20.549"
"Castilleja de la Cuesta-41029","8.114","6.812","17.418","952","53","23.619","19.720"
"Camas-41021","12.545","10.282","27.509","1.025","57","23.179","19.377"
"Almensilla-41010","3.108","2.584","6.080","1.046","60","23.048","19.390"
"San Juan de Aznalfarache-41086","9.080","7.515","21.416","1.051","62","23.028","19.385"
"Guillena-41049","5.543","4.488","12.788","1.124","68","22.578","18.938"
"Gerena-41045","3.653","2.913","7.585","1.231","79","22.066","18.557"
"Sanlúcar la Mayor-41087","6.076","5.009","13.808","1.233","81","22.062","18.645"
"Mairena del Alcor-41058","11.446","9.347","23.550","1.278","84","21.829","18.440"
"Santiponce-41089","3.907","3.124","8.554","1.302","85","21.659","18.389"
"Algaba, La-41007","7.244","5.726","16.374","1.310","87","21.636","18.469"
"Umbrete-41094","4.367","3.591","8.894","1.331","93","21.535","18.280"
"Rinconada, La-41081","18.064","14.770","38.628","1.358","98","21.409","18.169"
"Utrera-41095","24.663","19.751","50.728","1.374","99","21.338","18.104"
"Carmona-41024","13.134","10.795","28.531","1.433","106","21.013","17.758"
"Alcalá del Río-41005","5.369","4.401","12.029","1.453","108","20.883","17.838"
"Villanueva del Ariscal-41098","2.998","2.439","6.610","1.496","112","20.701","17.587"
"Huévar del Aljarafe-41051","1.380","1.184","3.015","1.505","114","20.656","17.644"
"Coria del Río-41034","13.105","10.687","30.777","1.529","116","20.535","17.528"
"Puebla del Río, La-41079","5.098","4.027","11.868","1.559","118","20.405","17.433"
"Benacazón-41015","3.433","2.727","7.241","1.628","134","20.090","17.293"
"Ecija-41039","19.176","15.750","39.873","1.637","136","20.041","17.096"
"Osuna-41068","8.371","6.937","17.560","1.679","142","19.833","16.990"
"Morón de la Frontera-41065","13.327","10.898","27.627","1.707","145","19.715","16.882"
"Marchena-41060","9.430","7.710","19.457","1.711","146","19.697","16.904"
"Aznalcóllar-41013","2.721","2.074","6.091","1.766","154","19.444","16.920"
"Olivares-41067","4.250","3.352","9.394","1.769","155","19.437","16.683"
"Burguillos-41019","2.799","2.271","6.716","1.775","158","19.419","16.821"
"Carrión de los Céspedes-41025","1.090","921","2.544","1.802","161","19.321","16.565"
"Aznalcázar-41012","1.974","1.666","4.586","1.826","166","19.197","16.502"
"Viso del Alcor, El-41102","9.173","7.339","19.266","1.833","169","19.173","16.516"
"Ronquillo, El-41083","652","517","1.364","1.891","178","18.976","16.321"
"Brenes-41018","5.389","4.500","12.471","1.908","180","18.926","16.349"
"Lebrija-41053","13.484","10.771","27.524","1.914","182","18.897","16.251"
"Palacios y Villafranca, Los-41069","17.583","13.676","38.354","1.920","184","18.888","16.335"
"Villanueva del Río y Minas-41099","1.757","1.375","4.858","1.953","188","18.743","16.351"
"Estepa-41041","6.816","5.847","12.505","1.978","193","18.630","16.013"
"Cazalla de la Sierra-41032","2.346","1.882","4.718","2.067","216","18.287","15.795"
"Cantillana-41023","4.368","3.582","10.684","2.068","217","18.278","15.805"
"Albaida del Aljarafe-41003","1.562","1.237","3.197","2.087","224","18.198","15.831"
"Molares, Los-41063","1.563","1.255","3.480","2.089","225","18.194","15.849"
"Arahal-41011","9.336","7.624","19.526","2.116","232","18.098","15.788"
"Lora del Río-41055","8.322","6.985","18.662","2.125","235","18.058","15.724"
"Constantina-41033","2.441","1.980","5.896","2.131","237","18.031","15.594"
"Tocina-41092","4.321","3.546","9.501","2.163","247","17.908","15.646"
"Luisiana, La-41056","2.296","1.866","4.576","2.172","250","17.886","15.552"
"Herrera-41050","3.555","2.941","6.461","2.179","252","17.858","15.438"
"Gilena-41046","1.820","1.527","3.727","2.206","262","17.768","15.388"
"Pedrera-41072","2.641","2.194","5.194","2.229","269","17.659","15.482"
"Roda de Andalucía, La-41082","2.016","1.666","4.183","2.254","277","17.557","15.308"
"Puebla de Cazalla, La-41077","5.472","4.477","10.979","2.266","279","17.508","15.401"
"Pilas-41075","6.361","5.327","13.974","2.283","285","17.432","15.129"
"Coronil, El-41036","2.300","1.883","4.746","2.318","297","17.222","15.066"
"Pedroso, El-41073","993","803","2.018","2.334","304","17.148","15.009"
"Paradas-41071","3.299","2.686","6.908","2.340","308","17.119","15.009"
"Castilblanco de los Arroyos-41027","2.083","1.679","4.864","2.341","309","17.118","14.991"
"Isla Mayor-41902","2.531","2.146","5.839","2.345","311","17.106","14.775"
"Peñaflor-41074","1.693","1.438","3.656","2.351","315","17.080","14.852"
"Villaverde del Río-41101","3.268","2.700","7.818","2.370","318","17.011","14.933"
"Castillo de las Guardas, El-41031","664","539","1.443","2.429","336","16.724","14.704"
"Aguadulce-41001","1.026","881","2.020","2.442","339","16.673","14.702"
"Cañada Rosal-41901","1.747","1.465","3.320","2.453","345","16.614","14.460"
"Almadén de la Plata-41009","599","499","1.355","2.468","352","16.511","14.628"
"Cabezas de San Juan, Las-41020","7.673","6.050","16.417","2.474","354","16.488","14.603"
"Real de la Jara, El-41080","688","532","1.503","2.509","371","16.365","14.314"
"Guadalcanal-41048","1.377","1.104","2.627","2.525","379","16.274","14.426"
"Alcolea del Río-41006","1.498","1.214","3.373","2.550","385","16.179","14.365"
"Saucejo, El-41090","2.289","1.846","4.284","2.567","387","16.089","14.305"
"Cuervo de Sevilla, El-41903","3.863","3.025","8.610","2.597","401","15.971","14.152"
"Fuentes de Andalucía-41042","3.970","3.282","7.111","2.616","410","15.862","13.989"
"Casariche-41026","2.745","2.234","5.456","2.642","423","15.740","13.935"
"Rubio, El-41084","1.685","1.532","3.408","2.648","424","15.715","13.752"
"Alanís-41002","883","716","1.723","2.659","429","15.658","13.789"
"Coripe-41035","744","617","1.251","2.666","433","15.577","13.947"
"Puebla de los Infantes, La-41078","1.451","1.220","2.991","2.688","445","15.465","13.674"
"Campana, La-41022","2.329","1.903","5.276","2.696","450","15.411","13.641"
"Villamanrique de la Condesa-41097","2.116","1.754","4.459","2.722","462","15.290","13.554"
"Navas de la Concepción, Las-41066","834","698","1.559","2.737","473","15.140","13.388"
"Lantejuela, La-41052","1.828","1.467","3.814","2.755","482","14.985","13.349"
"Algámitas-41008","737","604","1.255","2.780","498","14.809","13.362"
"Montellano-41064","3.542","2.967","7.056","2.781","499","14.797","13.128"
"Martín de la Jara-41062","1.468","1.202","2.704","2.782","500","14.794","13.322"
"Pruna-41076","1.275","1.033","2.603","2.802","510","14.644","13.307"
"Badolatosa-41014","1.503","1.187","3.078","2.817","521","14.459","13.079"
"Corrales, Los-41037","2.357","2.000","3.941","2.818","522","14.444","12.969"
"Villanueva de San Juan-41100","725","579","1.120","2.834","531","14.193","12.908"
"Marinaleda-41061","1.287","1.099","2.627","2.863","550","13.739","12.438"
"Palmar de Troya, El-41904","31","25","2.340","2.894","565","12.560","11.653"
"Agrupación municipios pequeños-41","1.504","1.269","3.155","-","-","17.188","15.010"
"Aragón","800.268","703.687","1.319.291",NA,NA,"26.318","21.698"
"Huesca","128.420","113.716","220.461",NA,NA,"24.725","20.602"
"Huesca-22125","33.701","30.497","53.132","459","5","27.202","22.406"
"Sabiñánigo-22199","5.835","5.057","9.238","511","8","26.691","22.123"
"Binéfar-22061","5.419","4.752","9.561","617","13","25.858","21.260"
"Jaca-22130","7.726","6.980","12.988","620","15","25.838","21.431"
"Barbastro-22048","10.373","9.196","16.979","651","18","25.614","21.264"
"Sallent de Gállego-22204","763","718","1.478","660","19","25.546","21.150"
"Monzón-22158","9.901","8.548","17.236","745","24","25.061","20.837"
